ID,CODE,DESCRIPTION,
5043,31719-8,Infectious bronchitis virus Ag [Presence] in Unspecified specimen,
5044,74566-1,Contributing factors for event [AHRQ],
5045,28486-9,Bowel Function Behavior Family [OMAHA],
5046,56920-2,Coxiella burnetii IgG Ab [Titer] in Serum by Immunofluorescence --1st specimen,
5047,61409-9,Cyclobenzaprine [Presence] in Urine by Confirmatory method,
5048,13807-3,Sebacate (C8)/Creatinine [Mass Ratio] in Urine,
5049,22855-1,Babesia divergens Ab [Presence] in Serum,
5050,56117-5,Waist Circumference by WHI,
5051,14687-8,Transfusion date,
5052,33694-1,Clostridium botulinum [Presence] in Unspecified specimen by Organism specific culture,
5053,10409-1,Pentaspan given [Volume],
5054,63229-9,DNA double strand IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
5055,69368-9,Bordetella pertussis IgM Ab [Presence] in Serum by Immunoblot (IB),
5056,15225-6,Food Allergen Mix 72 (Fennel seed+Basil+Anise+Ginger) IgE Ab [Presence] in Serum by Multidisk,
5057,66949-9,How often do you feel that there are people you can turn to [PhenX],
5058,10570-0,Consistency of Cervical mucus,
5059,71151-5,Pediatric - Functional Assessment of Chronic Illness Therapy - Fatigue Questionnaire (Peds-FACIT-Fatigue),
5060,63338-8,SCL-70 extractable nuclear Ab [Titer] in Serum by Immunoassay,
5061,2755-7,pH of Stool,
5062,14729-8,Flurazepam [Moles/volume] in Serum or Plasma,
5063,7383-3,Hackberry tree IgE Ab [Units/volume] in Serum,
5064,8164-6,Tetrahydrocannabinol [Presence] in Gastric fluid by Confirmatory method,
5065,29358-9,Cortisol [Mass/volume] in Serum or Plasma --pre XXX challenge,
5066,22077-2,Acanthamoeba sp Ab [Presence] in Cornea,
5067,49478-1,CXCR5 Ag [Presence] in Tissue by Immune stain,
5068,4810-8,HLA-B15 [Presence] in donor,
5069,57806-2,HEDIS 2010-2013 Tests used in early prenatal care - Rubella (PPC-C),
5070,53173-1,3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in Dried blood spot,
5071,55437-8,Neoplastic cells/100 leukocytes in Cerebral spinal fluid by Manual count,
5072,38671-4,M-cresol [Mass/volume] in Air,
5073,34656-9,KEL gene mutation analysis in Amniotic fluid by Molecular genetics method Narrative,
5074,23331-2,Deprecated Ovine progressive pneumonia virus Ab [Presence] in Serum,
5075,47396-7,Babesia microti DNA [Presence] in Unspecified specimen by Probe and target amplification method,
5076,55113-5,Key images Document Radiology,
5077,47870-1,Prolactin [Mass/volume] in Serum or Plasma --2.5 hours post dose TRH IV,
5078,30213-3,Coxiella burnetii IgM Ab [Presence] in Serum,
5079,47471-8,Legionella pneumophila 8 IgG Ab [Titer] in Serum,
5080,14412-1,Aspartate aminotransferase [Enzymatic activity/volume] in Gastric fluid,
5081,68368-0,Leukocytes [#/volume] in Dialysis fluid by Automated count,
5082,68118-9,How much difficulty do you currently have writing notes to yourself and/or such as appointments or to do lists [NeuroQol],
5083,52181-5,Pulmonary therapy treatment plan Progress note and attainment of goals date range,
5084,16549-8,Carbinoxamine [Presence] in Urine,
5085,47649-9,Histidine/Amino acids.total in Unspecified specimen,
5086,58309-6,Longest duration of chest discomfort,
5087,32736-1,Beta 1 globulin/Protein.total in Urine by Electrophoresis,
5088,38694-6,Chloroethane [Mass/volume] in Air,
5089,49745-3,Whitefaced Hornet IgG Ab [Mass/volume] in Serum,
5090,65702-3,Leg agility - left [PhenX],
5091,13080-7,Phosphatidylglycerol IgM Ab [Units/volume] in Serum,
5092,41158-7,Canine herpesvirus Ab [Presence] in Serum,
5093,11222-7,Pentacarboxylporphyrins [Presence] in Urine,
5094,34924-1,Immature monocytes [#/volume] in Blood,
5095,74185-0,Percent of U.S. Federal Poverty Level,
5096,2045-3,Carnitine [Presence] in Serum or Plasma,
5097,3160-9,Volume of Semen,
5098,53333-1,Urinalysis other formed elements panel - Urine by Computer assisted method,
5099,58645-3,Cortisol [Moles/volume] in Saliva (oral fluid) --12 PM specimen,
5100,31922-8,Ovine progressive pneumonia virus Ag [Presence] in Unspecified specimen,
5101,62005-4,I had trouble getting into a comfortable position to sleep in past 7 days [PROMIS],
5102,54081-5,Hemoglobinopathies newborn screening panel,
5103,29298-7,Reason for visit,
5104,51920-7,Legionella sp Ab [Titer] in Serum --2nd specimen,
5105,41622-2,Bacillus anthracis DNA [Identifier] in Unspecified specimen by Probe and target amplification method,
5106,56033-4,Androstenediol [Mass/time] in 24 hour Urine,
5107,67155-2,Study year Study [PhenX],
5108,29933-9,Vanadium/Creatinine [Mass Ratio] in 24 hour Urine,
5109,28689-8,Axis Eye - right Autorefractor.auto,
5110,17800-4,Myelocytes/100 leukocytes in Body fluid,
5111,24103-4,Plasma cells [#/volume] in Blood by Manual count,
5112,35816-8,Gemifloxacin [Susceptibility],
5113,35044-7,Lymphocytes Variant [#/volume] in Synovial fluid,
5114,59575-1,Body mass index (BMI) [Percentile] Per age,
5115,18483-8,Yeast [Presence] in Genital specimen by Organism specific culture,
5116,67183-4,Diagnostic or staging procedure [PhenX],
5117,13587-1,Vancomycin [Mass/volume] in Body fluid,
5118,75215-4,Ornithine/Citrulline [Molar ratio] in Dried blood spot,
5119,22735-5,Bicarbonate [Moles/volume] in Unspecified specimen,
5120,72041-7,Testing of arteriovenous graft for access dysfunction performed [ESRD],
5121,12501-3,Phenobarbital [Presence] in Stool,
5122,33872-3,Cystine [Moles/mass] in Leukocytes,
5123,25773-3,Somatotropin [Moles/volume] in Serum or Plasma --12th specimen post XXX challenge,
5124,50874-7,Manganese [Moles/mass] in Hair,
5125,32937-5,Frankfort horizontal plane to nasion-pogonion line [Angle] Skull X-ray measured,
5126,28341-6,Sleep And Rest Pattern Behavior [OMAHA],
5127,10634-4,Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total in Serum or Plasma,
5128,20068-3,Minimum drive pressure setting Servo ventilator,
5129,16265-1,Triple phosphate crystals [Presence] in Stone by Infrared spectroscopy,
5130,50287-2,3-Dechloroethylifosfamide [Mass/volume] in Blood --3 days post dose ifosfamide,
5131,32805-4,Lymphocytes Variant/100 leukocytes in Bronchial specimen by Manual count,
5132,27383-9,Feline herpesvirus 1 Ab [Presence] in Serum by Immunofluorescence,
5133,17292-4,Mumps virus Ab [Units/volume] in Cerebral spinal fluid,
5134,21848-7,Usual industry Narrative,
5135,54670-5,Trouble concentrating on things and/or such as reading the newspaper or watching television in last 2 weeks.presence [Observed PHQ-9 MDSv3],
5136,68243-5,When you had pain and/or how long did it last in the past 7 days [NeuroQol.Peds],
5137,35205-4,Dehydroepiandrosterone sulfate (DHEA-S) [Mass or Moles/volume] in Serum or Plasma,
5138,19179-1,Choriogonadotropin.beta subunit free [Moles/volume] in Amniotic fluid,
5139,7829-5,Coxiella burnetii phase 1 IgG Ab [Units/volume] in Serum,
5140,14549-0,Mumps virus Ag [Presence] in Nose by Immunofluorescence,
5141,48375-0,Spermatozoa Short Tail/100 spermatozoa in Semen,
5142,30981-5,Earliest date to give,
5143,33698-2,Bacillus anthracis [Presence] in Isolate by Phage lysis,
5144,72203-3,Parathyrin.intact intraoperative panel - Serum or Plasma,
5145,61742-3,When I was in pain I screamed in past 7 days [PROMIS],
5146,57695-9,Cortisol [Mass/volume] in Saliva (oral fluid) --8th specimen,
5147,11939-6,Gestational age estimated from Radius length by method of Merz 1987 (US),
5148,61987-4,My sleep quality was...in past 7 days [PROMIS],
5149,57965-6,Fosamprenavir+Ritonavir [Susceptibility] by Phenotype method,
5150,23799-0,Epidermal Allergen Mix 73 (Chicken feather+Duck feather+Goose feather+Parrot feather) IgE Ab [Presence] in Serum by Multidisk,
5151,61685-4,Are you able to walk a block on flat ground [PROMIS],
5152,70754-7,Bone pain wakes me up at night in the past 7 days [FACIT],
5153,40411-1,Amitriptyline [Presence] in Gastric fluid,
5154,8606-6,Study duration by EKG,
5155,1349-0,Yt sup(b) Ab [Presence] in Serum or Plasma from donor,
5156,67835-9,Eosinophils [#/volume] in Pleural fluid from Fetus,
5157,70906-3,Emotional well being - FACIT-CD [FACIT],
5158,40753-6,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunofluorescence,
5159,75012-5,t(4;11)(q21.3;q23)(AFF1,MLL) fusion transcript [Presence] in Bone marrow by Molecular genetics method,
5160,17892-1,Bacteria # 6 identified in Nose by Aerobe culture,
5161,56018-5,Platelet aggregation thrombin induced ATP secretion [Presence] in Blood --5 U/mL,
5162,52820-8,Appearance of Spun Pericardial fluid,
5163,52364-7,Skilled nursing treatment plan and/or Responsible rehabilitation professional information Set,
5164,45413-2,History of stay in other nursing home [Minimum Data Set],
5165,6440-2,Influenza virus A+B+C Ag [Presence] in Throat by Immunofluorescence,
5166,4756-3,HLA-B w50(21) [Presence] in donor,
5167,50943-0,Reasons for assessment (full) Set,
5168,70017-9,Parainfluenza virus 1+2+3+4 IgM Ab [Presence] in Serum by Immunoassay,
5169,1276-5,Deprecated O group [Presence] on Red Blood Cells,
5170,51507-2,Creatine kinase.MM [Enzymatic activity/volume] in Cerebral spinal fluid by Electrophoresis,
5171,18327-7,Microscopic observation [Identifier] in Duodenal fluid by Other stain,
5172,47091-4,Methylmalonate [Moles/time] in 24 hour Urine,
5173,73635-5,Razupenem [Susceptibility] by Disk diffusion (KB),
5174,61131-9,Preterm time,
5175,28552-8,Cladosporium herbarum IgM Ab [Units/volume] in Serum,
5176,64377-5,Full time advanced practice nurse staff positions filled at end of period population #,
5177,27493-6,Alcohol-substance abuse rehabilitation treatment plan and/or Date attending MD signed Date and time,
5178,56243-9,Dandelion IgG4 Ab [Mass/volume] in Serum,
5179,1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,
5180,70372-8,I am able to enjoy meals with family or friends in the past 7 days [FACIT],
5181,12822-3,Progesterone [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,
5182,18668-4,Alcohol-substance abuse rehabilitation treatment plan and/or Frequency of assessments for follow up #,
5183,69777-1,Suberylcarnitine (C8-DC) [Moles/volume] in Cerebral spinal fluid,
5184,59307-9,Metaxalone [Mass/volume] in Blood,
5185,19976-0,Maximum [Pressure] Respiratory system airway opening --at inspiration on ventilator,
5186,2762-3,Phenylalanine [Mass/volume] in Blood,
5187,71524-3,Partial owner organization Dialysis facility [ESRD],
5188,27077-7,Enterococcus sp IgM Ab [Units/volume] in Serum,
5189,73585-2,Tizoxanide [Susceptibility],
5190,25797-2,Thyroxine (T4) free [Moles/volume] in Serum or Plasma --8th specimen post XXX challenge,
5191,68624-6,Advanced heart failure and transplant cardiology Hospital Letter,
5192,16337-8,Alkaline phosphatase [Enzymatic activity/volume] in Urine,
5193,28800-1,HSA N LM glasses lens - right,
5194,51796-1,Purkinje cells type Tr Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
5195,12400-8,Emetine [Mass/volume] in Urine,
5196,18211-3,Complement C1 esterase inhibitor bound IgM Ab [Mass/volume] in Serum or Plasma,
5197,55416-2,Oxymetry special circumstances,
5198,66133-0,Mononuclear cells atypical/100 leukocytes in Body fluid by Manual count,
5199,58026-6,Selenium [Mass/volume] in Nonbiological fluid,
5200,44454-7,Borrelia burgdorferi Ab [Units/volume] in Synovial fluid,
5201,63647-2,Did you ever use marijuana at least 21 times in a single year [PhenX],
5202,50701-2,Influenza virus A H1 Ag [Presence] in Isolate by Immunofluorescence,
5203,18482-0,Yeast [Presence] in Unspecified specimen by Organism specific culture,
5204,12906-4,Renin [Enzymatic activity/volume] in Plasma --8th specimen post XXX challenge,
5205,19414-2,Codeine cutoff [Mass/volume] in Urine for Confirmatory method,
5206,14070-7,Fluphenazine [Presence] in Urine,
5207,3990-9,Propranolol [Mass/time] in 24 hour Urine,
5208,35334-2,Collagen crosslinked N-telopeptide [Moles/volume] in 24 hour Urine,
5209,70751-3,I have trouble walking because of bone pain in the past 7 days [FACIT],
5210,59117-2,Left ventricular Mean circumferential fiber shortening [Velocity] by US,
5211,35544-6,Potato IgG Ab [Mass/volume] in Serum,
5212,72933-5,Vancomycin induced neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
5213,64275-1,Have you ever had an itchy rash which was coming and going for at least 6 months [PhenX],
5214,14206-7,Coccidioides immitis exoantigen [Identifier] in Isolate,
5215,8915-1,Pulse wave form Brachial artery - right by US.doppler,
5216,15425-2,Service comment 34,
5217,58223-9,Return to community,
5218,63256-2,Ganglioside GT1a IgG+IgM Ab [Presence] in Serum by Immunoassay,
5219,75024-0,Coproporphyrin 1/Porphyrins.total in Stool,
5220,33875-6,Oligosaccharides pattern [interpretation] in Urine,
5221,66784-0,I can usually handle whatever comes my way [PhenX],
5222,3656-6,Furfenorex [Presence] in Urine,
5223,44674-0,Invasive carcinoma uninvolved margin closest in Breast tumor by CAP cancer protocols,
5224,62905-5,Deprecated PhenX measure - personal and family history of psoriasis,
5225,27839-0,C peptide [Mass/volume] in Serum or Plasma --4 hours post XXX challenge,
5226,66162-9,Have you ever had a kidney transplant [PhenX],
5227,5994-9,Platelet aggregation calcium ionophore induced [Substance threshold] in Platelet rich plasma,
5228,42493-7,Catecholamines Free fractionated [Mass/volume] in Plasma,
5229,4541-9,Deprecated Clot Lysis [Time] in Platelet poor plasma by Coagulation assay,
5230,28063-6,Mercury [Mass/volume] in Dentin --2nd specimen,
5231,22773-6,African horse sickness virus Ag [Presence] in Unspecified specimen by Immunoassay,
5232,20289-5,Pulmonic valve Region orifice [Area] by US.doppler Vmax + area calculated,
5233,18627-0,Psychiatric rehabilitation treatment plan and/or Date onset or exacerbation of primary diagnosis,
5234,16688-4,Creatine kinase [Enzymatic activity/volume] in Body fluid,
5235,1701-2,Acetaldehyde [Mass/volume] in Serum or Plasma,
5236,13835-4,Monocytes/100 leukocytes in Peritoneal fluid by Manual count,
5237,41485-4,Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation,
5238,73427-7,Cyclosporine induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
5239,2988-4,Testosterone [Mass/volume] in Urine,
5240,7981-4,Parvovirus B19 IgM Ab [Presence] in Serum,
5241,19893-7,Carbon dioxide [Partial pressure] in Capillary blood --during bronchodilation,
5242,22224-0,Coxsackievirus B IgM Ab [Units/volume] in Serum,
5243,2914-0,Pyruvate oxidase [Enzymatic activity/volume] in Serum or Plasma,
5244,66268-4,Adolescent activity [PhenX],
5245,8397-2,Aorta thoracic proximal ascending Mean blood pressure,
5246,177-6,Chlortetracycline [Susceptibility] by Minimum inhibitory concentration (MIC),
5247,55480-8,Insulin [Moles/volume] in Serum or Plasma --5 minutes pre dose glucose,
5248,34263-4,Cefaclor IgG Ab [Units/volume] in Serum,
5249,22931-0,Brucella melitensis Ab [Presence] in Serum,
5250,71008-7,Additional concerns - FACIT-Pal [FACIT],
5251,56634-9,Nuclear IgG Ab [Titer] in Serum by Immunofluorescence,
5252,52877-8,Cytoplasmic CD22 cells/100 cells in Blood,
5253,67856-5,Nursing facility History and physical note,
5254,29170-8,Speech therapy treatment plan and/or Date range (from/through) described by plan Set,
5255,55072-3,Insurance case mix - RUG version code,
5256,46443-8,Hospital-specific section Set NAACCR v.11,
5257,49844-4,Activated partial thromboplastin time (aPTT).factor substitution in Platelet poor plasma by Coagulation assay --1H post incubation with 1:4 normal plasma,
5258,59626-2,Clobazam [Mass/volume] in Blood,
5259,30041-8,Turmeric IgE Ab [Units/volume] in Serum,
5260,23412-0,Rinderpest virus Ag [Units/volume] in Tissue by Immunoassay,
5261,56841-0,Pain severity descriptive category,
5262,35579-2,Tetrahydrofuran [Mass/volume] in Urine,
5263,8854-2,Pulmonary wedge Oxygen saturation,
5264,75137-0,Acadesine [Moles/volume] in Serum or Plasma,
5265,14141-6,Ketones [Presence] in Urine --6 hours post XXX challenge,
5266,21573-1,Transferrin.carbohydrate deficient.disialo fraction/Transferrin.total in Serum or Plasma,
5267,56067-2,Deprecated PhenX measure - maximum adult weight,
5268,13300-9,HLA-A+B [Type],
5269,13935-2,Dichlorodifluoromethane [Mass/volume] in Blood,
5270,40832-8,Pistachio IgE Ab [Ratio] in Serum,
5271,12809-0,Coproporphyrin [Mass/time] in Urine,
5272,16991-2,Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --4.5 hours post dose glucose,
5273,70629-1,I get a ringing or buzzing in my ears in the past 7 days [FACIT],
5274,10950-4,Reindeer epithelium IgE Ab [Units/volume] in Serum,
5275,3153-4,Weight of 24 hour Unspecified specimen,
5276,46682-1,Extreme cold [RFC],
5277,42590-0,Borrelia sp Ab [Titer] in Serum,
5278,8645-4,Deprecated Visual acuity log MAR.right: Cmplx: Pt: Eye.right: Qn:,
5279,41366-6,Hip Abduction Passive Range of Motion Quantitative,
5280,54135-9,Parents related [USSG-FHT],
5281,51039-6,CD11b blasts/100 blasts in Unspecified specimen,
5282,1579-2,17-Ketogenic steroids [Mass/time] in 24 hour Urine --pre 50 ug corticotropin IM 3 day,
5283,14088-9,Deprecated Herpes simplex virus 1 IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
